shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
B630156,40.612291,-74.035825,10001
B630156,40.612142,-74.035669,10002
B630156,40.611782,-74.035279,10003
B630156,40.611432,-74.03493900000001,10004
B630156,40.611382,-74.034889,10005
B630156,40.611472,-74.034809,10006
B630156,40.611762,-74.034549,10007
B630156,40.612002000000004,-74.034339,10008
B630156,40.612252000000005,-74.034109,10009
B630156,40.612821999999994,-74.033659,10010
B630156,40.612957,-74.03353800000001,10011
B630156,40.612957,-74.03353800000001,20001
B630156,40.613382,-74.033159,20002
B630156,40.613982,-74.032639,20003
B630156,40.614242,-74.03241899999999,20004
B630156,40.614277,-74.03239,20005
B630156,40.614277,-74.03239,30001
B630156,40.614712,-74.03202900000001,30002
B630156,40.614802000000005,-74.031949,30003
B630156,40.615302,-74.031499,30004
B630156,40.615612,-74.031279,30005
B630156,40.615712,-74.03122900000001,30006
B630156,40.615862,-74.030999,30007
B630156,40.615956,-74.03090999999999,30008
B630156,40.615956,-74.03090999999999,40001
B630156,40.616021999999994,-74.030849,40002
B630156,40.616512,-74.030469,40003
B630156,40.617472,-74.029659,40004
B630156,40.617882,-74.029319,40005
B630156,40.618148,-74.02908599999999,40006
B630156,40.618148,-74.02908599999999,50001
B630156,40.618202000000004,-74.029039,50002
B630156,40.618592,-74.02870899999999,50003
B630156,40.618712,-74.028599,50004
B630156,40.619162,-74.02820899999999,50005
B630156,40.619741999999995,-74.027709,50006
B630156,40.620001,-74.027486,50007
B630156,40.620001,-74.027486,60001
B630156,40.620312,-74.02721899999999,60002
B630156,40.620822,-74.02678900000001,60003
B630156,40.621482,-74.026219,60004
B630156,40.62178,-74.025954,60005
B630156,40.62178,-74.025954,70001
B630156,40.622112,-74.02565899999999,70002
B630156,40.622852,-74.025349,70003
B630156,40.623582,-74.025059,70004
B630156,40.623917,-74.024917,70005
B630156,40.623917,-74.024917,80001
B630156,40.624311999999996,-74.024749,80002
B630156,40.625032,-74.024459,80003
B630156,40.625782,-74.024159,80004
B630156,40.625952000000005,-74.024089,80005
B630156,40.626073999999996,-74.024038,80006
B630156,40.626073999999996,-74.024038,90001
B630156,40.626482,-74.02386899999999,90002
B630156,40.627232,-74.02355899999999,90003
B630156,40.627972,-74.023269,90004
B630156,40.628302000000005,-74.023126,90005
B630156,40.628302000000005,-74.023126,100001
B630156,40.628692,-74.022959,100002
B630156,40.629472,-74.022649,100003
B630156,40.629835,-74.022497,100004
B630156,40.629835,-74.022497,110001
B630156,40.630311999999996,-74.022299,110002
B630156,40.630962,-74.022029,110003
B630156,40.631671999999995,-74.02172900000001,110004
B630156,40.632018,-74.021585,110005
B630156,40.632018,-74.021585,120001
B630156,40.632562,-74.02135899999999,120002
B630156,40.633462,-74.02100899999999,120003
B630156,40.633772,-74.02088,120004
B630156,40.633772,-74.02088,130001
